Configuration,grade1,grade2,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",0.51097,243.43374,5.43374,124.38851,62.47515,8.25685,166.0,72.0,28.35975
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",0.37671,259.60833,3.60833,97.79743,85.12531,8.25684,181.0,75.0,20.81377
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",0.29204,259.29731,7.29731,75.72478,56.84348,8.25686,177.0,75.0,31.16954
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",0.40547,271.45844,9.45844,110.06776,55.37647,8.25688,186.0,76.0,31.99543
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",0.31764,266.64416,6.64416,84.69816,72.73987,8.25686,182.0,78.0,24.14348
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",0.25122,266.23677,13.23677,66.88294,50.23171,8.25689,175.0,78.0,35.06425
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",0.31149,274.65038,18.65038,85.54959,43.25414,8.25691,178.0,78.0,40.96257
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",0.36559,240.24726,2.24726,87.83181,76.05611,8.25685,163.0,75.0,23.29565
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",0.37904,242.82454,3.82454,92.04123,68.12343,8.25686,166.0,73.0,26.00839
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",0.51089,245.406,5.406,125.3766,62.98399,8.25686,167.0,73.0,28.13072
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",0.3773,258.82117,3.82117,97.65388,85.15995,8.25686,180.0,75.0,20.80537
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",0.29525,262.57196,7.57196,77.52376,58.14179,8.25688,179.0,76.0,30.47362
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'scatter']",0.4494,270.93063,9.93063,121.75745,61.21703,8.2569,185.0,76.0,28.94294
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'scatter']",0.3259,267.58578,6.58578,87.20694,74.80564,8.25688,183.0,78.0,23.47683
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",0.25058,267.14441,13.14441,66.93976,50.19745,8.25691,176.0,78.0,35.08843
